Day,Sample,cell_count,mean_area,equivalent_diameter_area,perimeter,perimeter_crofton,axis_major_length,axis_minor_length,solidity,eccentricity,extent,feret_diameter_max,num_pixels,roundness(circularity),porosity(Rs),ics_area,ics_ratio,equivalent_diameter_area_um,perimeter_um,perimeter_crofton_um,axis_major_length_um,axis_minor_length_um,feret_diameter_max_um,mean_area_um2,ics_area_um2,num_pixels_um2
NB-D1,D1-17,425.26666666666665,1532.7617052940002,41.266332391564376,148.00601292259543,143.21053593065258,50.00017117133136,35.84010234899058,0.9398321382861303,0.6557251331667585,0.6751224698262497,52.687866818763084,1532.7617052940002,0.8172324291279316,0.9676937717987045,21612.866666666665,0.03230622820129543,67.13745823440506,240.79550895738984,232.99360077699563,81.34680765607786,58.309358625338675,85.71950190387406,4057.071745087348,57207.16428445386,4057.071745087348
NB-D1,D1-18,516.6,1198.3020647287237,37.23116346315057,130.70420396442796,126.79706443212508,43.89897533369061,32.70199685518006,0.9512721500476795,0.62441520844067,0.697899349888216,46.138555389360285,1198.3020647287237,0.8491415880663743,0.9224391629297459,51888.2,0.07756083707025407,60.57251849540537,212.64666681444047,206.2900220155535,71.4205855522384,53.20387882338448,75.0642268388788,3171.7894778420427,137343.03864478559,3171.7894778420427
NB-D1,D1-19,423.9230769230769,1424.4247877532875,40.915694230345146,144.59554245833914,140.09619268711748,48.14596913475065,36.075630794686816,0.9475052646474891,0.6246383367922393,0.6939812695582159,50.8437288687732,1424.4247877532875,0.840811459414897,0.8966719558468437,69126.46153846153,0.1033280441531562,66.5669942861949,235.24691025515853,227.92678050674587,78.3301496548804,58.692547056912936,82.71921747294566,3770.314419675193,182971.04695198924,3770.314419675193
NB-D1,D1-20,377.77777777777777,1624.750732908729,43.50931549186441,155.6952779635504,150.59393430501936,51.981628631301106,38.063421426443156,0.9417453396934279,0.6400495749218889,0.6837359429954483,55.091278578429296,1624.750732908729,0.8255212459821875,0.9031581132702209,64787.22222222222,0.09684188672977906,70.7866360384314,253.30540941672683,245.00587740200413,84.57050139749606,61.92654442920096,89.62968600028417,4300.557789594307,171485.500852891,4300.557789594307
NB-D1,D1-21,395.07142857142856,1564.0665258271972,42.76114400172131,151.86899721341038,146.96235716051243,50.543700533405804,37.67493506378351,0.9445853651720387,0.6271920207372157,0.6878936367773753,53.41615656267561,1564.0665258271972,0.8346333656449569,0.9153534059363656,56628.57142857143,0.08464659406363438,69.56941295945664,247.08031624348067,239.0975534794693,82.23109219823662,61.294504084539035,86.904378761854,4139.932572332445,149890.34258489,4139.932572332445
NB-D1,D1-22,610.0625,1054.6776370278403,34.61393370131817,122.90742910506029,119.38654620659909,41.449671578708674,30.243861942439022,0.9398264477610702,0.6457196893728077,0.6816942314316696,43.79165891150264,1054.6776370278403,0.8290083320961346,0.9578012892376682,28230.9375,0.04219871076233179,56.31446735198018,199.9618553435073,194.23362327527556,67.43573836511389,49.20466395561444,71.24598918287501,2791.629531571838,74724.55664372684,2791.629531571838
NB-D1,D1-23,558.5,1145.2969661385641,35.89620954233677,129.50191229825805,125.69314991655004,43.885398889301854,31.06589412069716,0.9294338805929734,0.6642119398190085,0.6682931247911227,46.2924016394644,1145.2969661385641,0.8107832751221372,0.9553707025411062,29857.0,0.044629297458893796,58.400641134144806,210.69062173252868,204.49402972865664,71.39849761964793,50.54205324699775,75.31452400832137,3031.490116830503,79028.58655373214,3031.490116830503
NB-D1,D1-24,576.1176470588235,1111.2432349233302,35.763593736391655,126.7612420935524,123.05651560050217,42.66759094337513,31.299223198032664,0.9420624234017936,0.6415666711861789,0.683171546347246,45.0973401979453,1111.2432349233302,0.8324782558952674,0.9502369647410535,33291.470588235294,0.04976303525894658,58.184884423604615,206.23174155735913,200.20440872252018,69.41720862765852,50.92166345892168,73.37024200001918,2941.3531893153263,88119.29748077103,2941.3531893153263
NB-D2,D2-01,305.5,2018.158431236955,48.03551185302883,173.40812367318244,167.37453145745118,58.079401779965046,41.7592897055702,0.9400045194877242,0.6549879759900286,0.6791192555193669,61.4832304346973,2018.158431236955,0.8147687269538713,0.9212036621823617,52714.75,0.07879633781763823,78.15044332508309,282.12297982155343,272.3067441177501,94.49115502396151,67.93946556489358,100.02894796314874,5341.869855047526,139530.83642138698,5341.869855047526
NB-D2,D2-02,328.75,1895.2313786641687,46.31457988735855,166.7104943179984,160.98036225627158,55.89565262336252,40.257237641176495,0.9404469515614935,0.6513980733134872,0.6811882753413087,59.256075260314766,1895.2313786641687,0.8181171911744277,0.9248550074738415,50272.0,0.0751449925261584,75.35060647810757,271.2264017870317,261.90387468863486,90.93834673451465,65.49573112340615,96.40552109587006,5016.493855648938,133065.11381683432,5016.493855648938
